caseid,birthyr,gender,race,educ,pid3,pid7,presvote20post,inputstate,region,party,visits_adult,visits_nonadult,visits,prop_adult_visits,rep,duration_adult,duration_nonadult,duration,prop_adult_duration,yes_visit_adults,race2,cohort,age,age2,educ2
200661421,1963,2,1,4,3,3,1,39,2,D,0.0,1728.0,1728.0,0.0,0.0,0.0,77642.0,77642.0,0.0,0.0,1,1960,60,3600,4
200686597,1992,2,6,5,5,8,-1,48,3,,243.0,3994.0,4237.0,5.735189992919518,,25952.0,234196.0,260148.0,9.975859895136614,1.0,5,1990,31,961,4
200953869,1959,2,1,5,2,7,2,42,1,R,0.0,20.0,20.0,0.0,1.0,0.0,1182.0,1182.0,0.0,0.0,1,1960,64,4096,4
201302005,1966,2,2,3,5,8,1,12,3,,20.0,527.0,547.0,3.656307129798903,,6166.0,23855.0,30021.0,20.53895606408847,1.0,2,1970,57,3249,3
201590505,1977,1,4,5,3,3,1,6,4,D,11.0,11075.0,11086.0,0.09922424679776294,0.0,428.0,382733.0,383161.0,0.11170239142292665,1.0,4,1980,46,2116,4
201631749,1996,1,3,5,3,4,1,6,4,I,1107.0,16361.0,17468.0,6.337302495992672,,31506.0,411490.0,442996.0,7.11202809957652,1.0,3,2000,27,729,4
2019721,1981,2,1,4,1,1,1,12,3,D,0.0,3419.0,3419.0,0.0,0.0,0.0,283898.0,283898.0,0.0,0.0,1,1980,42,1764,4
202180733,1961,1,2,4,-1,-1,-1,6,4,,821.0,841.0,1662.0,49.39831528279181,,338266.0,194018.0,532284.0,63.54990944683665,1.0,2,1960,62,3844,4
202293781,1984,2,1,2,3,4,6,27,2,I,0.0,825.0,825.0,0.0,,0.0,39065.0,39065.0,0.0,0.0,1,1980,39,1521,2
202467369,1985,2,1,5,2,7,2,36,1,R,0.0,2451.0,2451.0,0.0,1.0,0.0,162766.0,162766.0,0.0,0.0,1,1980,38,1444,4
202568909,1993,2,5,6,-1,-1,-1,42,1,,0.0,8512.0,8512.0,0.0,,0.0,168912.0,168912.0,0.0,0.0,5,1990,30,900,4
202575221,1970,2,1,3,2,7,2,12,3,R,0.0,5564.0,5564.0,0.0,1.0,0.0,364540.0,364540.0,0.0,0.0,1,1970,53,2809,3
202579925,1965,1,1,3,1,1,1,29,2,D,0.0,40.0,40.0,0.0,0.0,0.0,770.0,770.0,0.0,0.0,1,1960,58,3364,3
203109813,1996,2,1,5,3,3,1,49,4,D,0.0,634.0,634.0,0.0,0.0,0.0,26770.0,26770.0,0.0,0.0,1,2000,27,729,4
203250525,1970,2,1,2,1,1,1,42,1,D,0.0,7971.0,7971.0,0.0,0.0,0.0,83329.0,83329.0,0.0,0.0,1,1970,53,2809,2
203253337,2000,2,1,3,-1,-1,-1,42,1,,0.0,3861.0,3861.0,0.0,,0.0,147797.0,147797.0,0.0,0.0,1,2000,23,529,3
203271,1980,2,1,6,1,2,-1,54,3,D,0.0,6555.0,6555.0,0.0,0.0,0.0,94707.0,94707.0,0.0,0.0,1,1980,43,1849,4
203359885,1981,2,1,4,3,3,1,26,2,D,0.0,10151.0,10151.0,0.0,0.0,0.0,365010.0,365010.0,0.0,0.0,1,1980,42,1764,4
203430477,1949,2,1,5,3,5,1,12,3,R,0.0,49000.0,49000.0,0.0,1.0,0.0,514403.0,514403.0,0.0,0.0,1,1950,74,5476,4
203457165,1960,2,1,3,1,1,1,41,4,D,21.0,28364.0,28385.0,0.07398273736128237,0.0,316.0,689501.0,689817.0,0.04580925085928587,1.0,1,1960,63,3969,3
204288513,1991,1,1,2,3,4,2,54,3,I,38.0,79884.0,79922.0,0.047546357698756286,,360.0,790079.0,790439.0,0.04554431145224363,1.0,1,1990,32,1024,2
204450829,2000,1,2,3,3,4,6,48,3,I,4246.0,37366.0,41612.0,10.203787369028165,,48957.0,572024.0,620981.0,7.883816090991512,1.0,2,2000,23,529,3
204557249,1954,2,1,1,2,6,6,40,3,R,0.0,160.0,160.0,0.0,1.0,0.0,8737.0,8737.0,0.0,0.0,1,1950,69,4761,1
2046153,1968,1,1,2,2,7,2,55,2,R,569.0,16896.0,17465.0,3.25794446034927,1.0,10977.0,342591.0,353568.0,3.104636166168884,1.0,1,1970,55,3025,2
204625113,1956,2,1,2,1,1,1,48,3,D,0.0,9362.0,9362.0,0.0,0.0,0.0,352821.0,352821.0,0.0,0.0,1,1960,67,4489,2
205160605,1983,2,1,6,5,8,2,48,3,,6.0,4074.0,4080.0,0.14705882352941177,,136.0,105345.0,105481.0,0.1289331727988927,1.0,1,1980,40,1600,4
2053065,1972,2,2,4,1,1,1,13,3,D,0.0,2475.0,2475.0,0.0,0.0,0.0,367516.0,367516.0,0.0,0.0,2,1970,51,2601,4
205323077,1972,1,1,3,2,7,2,45,3,R,0.0,1033.0,1033.0,0.0,1.0,0.0,248776.0,248776.0,0.0,0.0,1,1970,51,2601,3
205620321,1956,1,1,2,1,1,1,55,2,D,9.0,9879.0,9888.0,0.09101941747572816,0.0,74.0,166038.0,166112.0,0.044548256597958004,1.0,1,1960,67,4489,2
205649397,1946,2,1,2,1,1,1,37,3,D,0.0,22.0,22.0,0.0,0.0,0.0,116.0,116.0,0.0,0.0,1,1950,77,5929,2
205936309,1980,1,2,4,1,2,1,13,3,D,,,,,0.0,,,,,,2,1980,43,1849,4
206433705,1938,2,1,3,2,7,2,41,4,R,0.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,1,1940,85,7225,3
206482981,1960,2,1,4,2,6,2,29,2,R,0.0,20929.0,20929.0,0.0,1.0,0.0,591351.0,591351.0,0.0,0.0,1,1960,63,3969,4
206760065,1963,2,5,1,2,7,-1,40,3,R,0.0,70.0,70.0,0.0,1.0,0.0,4056.0,4056.0,0.0,0.0,5,1960,60,3600,1
2079493,1953,2,1,2,2,6,1,6,4,R,0.0,6222.0,6222.0,0.0,1.0,0.0,326474.0,326474.0,0.0,0.0,1,1950,70,4900,2
208194341,1963,2,1,5,-1,-1,-1,21,3,,0.0,9326.0,9326.0,0.0,,0.0,479323.0,479323.0,0.0,0.0,1,1960,60,3600,4
208262549,2003,1,4,1,5,4,6,48,3,I,2.0,2318.0,2320.0,0.08620689655172414,,10.0,58861.0,58871.0,0.016986292062305716,1.0,4,2000,20,400,1
208352141,1963,2,1,3,3,4,2,12,3,I,0.0,7361.0,7361.0,0.0,,0.0,133831.0,133831.0,0.0,0.0,1,1960,60,3600,3
208399637,1962,2,1,5,1,2,1,21,3,D,0.0,145.0,145.0,0.0,0.0,0.0,11080.0,11080.0,0.0,0.0,1,1960,61,3721,4
2084559,1968,2,3,2,1,2,1,34,1,D,0.0,7439.0,7439.0,0.0,0.0,0.0,276601.0,276601.0,0.0,0.0,3,1970,55,3025,2
208561057,1990,2,1,2,2,7,2,36,1,R,0.0,1131.0,1131.0,0.0,1.0,0.0,23764.0,23764.0,0.0,0.0,1,1990,33,1089,2
2091803,1946,1,1,2,2,7,2,12,3,R,0.0,5647.0,5647.0,0.0,1.0,0.0,241002.0,241002.0,0.0,0.0,1,1950,77,5929,2
209200697,1987,1,1,2,-1,-1,-1,55,2,,0.0,832.0,832.0,0.0,,0.0,78389.0,78389.0,0.0,0.0,1,1990,36,1296,2
209277141,1972,1,1,4,2,6,2,27,2,R,0.0,92.0,92.0,0.0,1.0,0.0,16988.0,16988.0,0.0,0.0,1,1970,51,2601,4
209668689,2000,1,1,2,3,4,-1,12,3,I,0.0,41.0,41.0,0.0,,0.0,26832.0,26832.0,0.0,0.0,1,2000,23,529,2
210012397,1961,1,5,4,1,1,1,20,2,D,689.0,6108.0,6797.0,10.136825069883772,0.0,15216.0,115383.0,130599.0,11.650931477270117,1.0,5,1960,62,3844,4
210158485,1979,2,1,3,2,6,2,47,3,R,1.0,534.0,535.0,0.1869158878504673,1.0,0.0,35210.0,35210.0,0.0,1.0,1,1980,44,1936,3
210277869,1965,2,1,3,2,7,2,48,3,R,0.0,345.0,345.0,0.0,1.0,0.0,19624.0,19624.0,0.0,0.0,1,1960,58,3364,3
210362181,1979,2,3,3,1,1,1,53,4,D,1416.0,1938.0,3354.0,42.21824686940966,0.0,325712.0,105106.0,430818.0,75.6031549285313,1.0,3,1980,44,1936,3
2109537,1951,2,1,2,1,1,1,17,2,D,0.0,8720.0,8720.0,0.0,0.0,0.0,198157.0,198157.0,0.0,0.0,1,1950,72,5184,2
211091057,1995,2,1,1,-1,-1,-1,48,3,,0.0,276.0,276.0,0.0,,0.0,9983.0,9983.0,0.0,0.0,1,2000,28,784,1
211431193,1963,2,1,5,1,1,1,34,1,D,0.0,4449.0,4449.0,0.0,0.0,0.0,231837.0,231837.0,0.0,0.0,1,1960,60,3600,4
212105717,1968,2,1,5,-1,-1,-1,8,4,,0.0,6978.0,6978.0,0.0,,0.0,150674.0,150674.0,0.0,0.0,1,1970,55,3025,4
212617425,1997,2,2,4,-1,-1,-1,37,3,,0.0,4515.0,4515.0,0.0,,0.0,61288.0,61288.0,0.0,0.0,2,2000,26,676,4
213028557,1952,2,1,5,1,1,1,41,4,D,0.0,148.0,148.0,0.0,0.0,0.0,4520.0,4520.0,0.0,0.0,1,1950,71,5041,4
213370877,1965,2,1,3,3,5,2,4,4,R,48.0,4475.0,4523.0,1.0612425381384036,1.0,4876.0,101724.0,106600.0,4.574108818011257,1.0,1,1960,58,3364,3
213655221,1976,2,1,2,5,4,-1,13,3,I,0.0,4039.0,4039.0,0.0,,0.0,49133.0,49133.0,0.0,0.0,1,1980,47,2209,2
213819745,1962,2,1,2,1,2,-1,21,3,D,0.0,1733.0,1733.0,0.0,0.0,0.0,43696.0,43696.0,0.0,0.0,1,1960,61,3721,2
214407333,1954,2,1,5,2,6,2,46,2,R,3.0,13182.0,13185.0,0.022753128555176336,1.0,116.0,518941.0,519057.0,0.022348219945015672,1.0,1,1950,69,4761,4
214412653,1969,2,1,3,3,5,2,17,2,R,0.0,173.0,173.0,0.0,1.0,0.0,6212.0,6212.0,0.0,0.0,1,1970,54,2916,3
214518153,1972,2,1,3,1,2,6,26,2,D,10.0,100.0,110.0,9.090909090909092,0.0,1986.0,2815.0,4801.0,41.366382003749216,1.0,1,1970,51,2601,3
2146835,1941,1,1,3,1,1,1,41,4,D,0.0,2056.0,2056.0,0.0,0.0,0.0,912027.0,912027.0,0.0,0.0,1,1940,82,6724,3
215010721,1972,1,1,2,3,4,5,4,4,I,753.0,13563.0,14316.0,5.259849119865884,,48732.0,446550.0,495282.0,9.839243097871515,1.0,1,1970,51,2601,2
215261525,1988,2,1,5,1,2,1,5,3,D,17.0,7441.0,7458.0,0.22794314829713058,0.0,404.0,222441.0,222845.0,0.18129192936794633,1.0,1,1990,35,1225,4
216048809,1979,2,1,5,1,1,1,39,2,D,0.0,551.0,551.0,0.0,0.0,0.0,15507.0,15507.0,0.0,0.0,1,1980,44,1936,4
216052633,1966,1,1,2,3,4,2,33,1,I,0.0,8243.0,8243.0,0.0,,0.0,248191.0,248191.0,0.0,0.0,1,1970,57,3249,2
216457,1976,2,1,2,2,7,2,27,2,R,0.0,1771.0,1771.0,0.0,1.0,0.0,52113.0,52113.0,0.0,0.0,1,1980,47,2209,2
2167149,1933,1,1,2,2,7,2,19,2,R,0.0,8252.0,8252.0,0.0,1.0,0.0,93472.0,93472.0,0.0,0.0,1,1930,90,8100,2
216812081,1947,1,4,6,1,1,-1,-1,-1,D,0.0,8238.0,8238.0,0.0,0.0,0.0,257068.0,257068.0,0.0,0.0,4,1950,76,5776,4
2171195,1960,1,1,5,2,7,2,37,3,R,0.0,1799.0,1799.0,0.0,1.0,0.0,62362.0,62362.0,0.0,0.0,1,1960,63,3969,4
217150353,1979,2,1,2,5,8,6,47,3,,0.0,974.0,974.0,0.0,,0.0,57390.0,57390.0,0.0,0.0,1,1980,44,1936,2
217191545,1964,2,1,4,1,2,1,41,4,D,0.0,3439.0,3439.0,0.0,0.0,0.0,207789.0,207789.0,0.0,0.0,1,1960,59,3481,4
217806309,1956,2,1,2,2,7,2,56,4,R,0.0,14379.0,14379.0,0.0,1.0,0.0,475578.0,475578.0,0.0,0.0,1,1960,67,4489,2
218611053,1976,2,1,2,2,7,2,36,1,R,0.0,3444.0,3444.0,0.0,1.0,0.0,180285.0,180285.0,0.0,0.0,1,1980,47,2209,2
218746945,1993,2,1,2,1,2,6,36,1,D,55.0,827.0,882.0,6.235827664399093,0.0,5108.0,33891.0,38999.0,13.097771737736865,1.0,1,1990,30,900,2
219060241,1982,2,1,2,3,8,-1,34,1,,0.0,7237.0,7237.0,0.0,,0.0,71123.0,71123.0,0.0,0.0,1,1980,41,1681,2
219068937,1987,2,4,6,2,6,-1,10,3,R,,,,,1.0,,,,,,4,1990,36,1296,4
219232573,1976,2,2,3,1,1,1,51,3,D,673.0,899.0,1572.0,42.8117048346056,0.0,32396.0,22422.0,54818.0,59.09737677405232,1.0,2,1980,47,2209,3
219256429,1957,1,6,6,-1,-1,-1,12,3,,0.0,3383.0,3383.0,0.0,,0.0,50985.0,50985.0,0.0,0.0,5,1960,66,4356,4
219344965,1996,2,1,3,1,1,6,40,3,D,3.0,230.0,233.0,1.2875536480686696,0.0,516.0,13602.0,14118.0,3.654908627284318,1.0,1,2000,27,729,3
219478189,1987,2,1,5,3,4,2,21,3,I,2.0,576.0,578.0,0.34602076124567477,,6.0,23836.0,23842.0,0.02516567402063585,1.0,1,1990,36,1296,4
219478277,1965,2,3,5,4,8,-1,37,3,,0.0,280.0,280.0,0.0,,0.0,8556.0,8556.0,0.0,0.0,3,1960,58,3364,4
219493349,2002,2,1,3,3,4,1,29,2,I,88.0,453.0,541.0,16.266173752310536,,11138.0,66514.0,77652.0,14.343481172410241,1.0,1,2000,21,441,3
220056537,1958,2,1,6,2,7,2,30,4,R,170.0,3801.0,3971.0,4.281037522034752,1.0,19192.0,143935.0,163127.0,11.765066481943515,1.0,1,1960,65,4225,4
220086349,1999,1,6,2,3,3,6,41,4,D,6.0,140.0,146.0,4.10958904109589,0.0,422.0,5540.0,5962.0,7.078161690707817,1.0,5,2000,24,576,2
220335253,1995,1,4,2,1,2,-1,17,2,D,0.0,4384.0,4384.0,0.0,0.0,0.0,69362.0,69362.0,0.0,0.0,4,2000,28,784,2
220476725,1971,2,1,4,2,7,2,8,4,R,0.0,1064.0,1064.0,0.0,1.0,0.0,37136.0,37136.0,0.0,0.0,1,1970,52,2704,4
220886017,1965,1,1,2,4,3,6,25,1,D,0.0,1088.0,1088.0,0.0,0.0,0.0,71474.0,71474.0,0.0,0.0,1,1960,58,3364,2
2210037,1942,1,3,1,1,1,1,36,1,D,2.0,12936.0,12938.0,0.015458339774308239,0.0,122.0,209228.0,209350.0,0.058275614998805826,1.0,3,1940,81,6561,1
222701181,1958,2,1,4,1,2,1,6,4,D,0.0,3568.0,3568.0,0.0,0.0,0.0,183261.0,183261.0,0.0,0.0,1,1960,65,4225,4
223002933,1978,1,4,6,1,2,1,6,4,D,217.0,4683.0,4900.0,4.428571428571428,0.0,8570.0,154762.0,163332.0,5.246981608013127,1.0,4,1980,45,2025,4
223864433,1980,2,1,3,5,8,6,54,3,,2.0,1292.0,1294.0,0.1545595054095827,,2.0,33706.0,33708.0,0.005933309600094933,1.0,1,1980,43,1849,3
223907837,1956,2,1,2,2,7,2,42,1,R,0.0,2512.0,2512.0,0.0,1.0,0.0,135821.0,135821.0,0.0,0.0,1,1960,67,4489,2
2239413,1942,1,1,1,2,7,2,4,4,R,166.0,10401.0,10567.0,1.5709283618813286,1.0,2876.0,278477.0,281353.0,1.0222034241682156,1.0,1,1940,81,6561,1
224367081,1971,2,1,3,1,1,1,23,1,D,0.0,1494.0,1494.0,0.0,0.0,0.0,36245.0,36245.0,0.0,0.0,1,1970,52,2704,3
225137717,2001,1,1,3,2,6,-1,51,3,R,0.0,8778.0,8778.0,0.0,1.0,0.0,288133.0,288133.0,0.0,0.0,1,2000,22,484,3
2253253,1961,1,1,6,1,1,1,35,4,D,1321.0,8675.0,9996.0,13.215286114445778,0.0,60272.0,674828.0,735100.0,8.199156577336417,1.0,1,1960,62,3844,4
225883357,1954,2,2,3,5,8,-1,36,1,,0.0,18968.0,18968.0,0.0,,0.0,228817.0,228817.0,0.0,0.0,2,1950,69,4761,3
2260987,1963,1,1,3,2,7,2,48,3,R,317.0,1386.0,1703.0,18.61421021726365,1.0,36554.0,82916.0,119470.0,30.59680254457186,1.0,1,1960,60,3600,3
226524537,1979,2,1,2,5,5,6,36,1,R,0.0,799.0,799.0,0.0,1.0,0.0,86128.0,86128.0,0.0,0.0,1,1980,44,1936,2
226587145,1972,2,1,2,2,7,2,47,3,R,0.0,471.0,471.0,0.0,1.0,0.0,27972.0,27972.0,0.0,0.0,1,1970,51,2601,2
226708285,1956,2,1,3,2,6,-1,39,2,R,10.0,18489.0,18499.0,0.05405697605275961,1.0,148.0,407126.0,407274.0,0.03633917215437273,1.0,1,1960,67,4489,3
227055517,1950,2,1,3,3,4,2,48,3,I,2.0,1110.0,1112.0,0.1798561151079137,,770.0,121267.0,122037.0,0.6309561854191762,1.0,1,1950,73,5329,3
